pair,count
"('katara', 'longshot')",1
"('palace woman', 'sokka')",1
"('aang', 'kuei')",11
"('kuei', 'toph')",5
"('kuei', 'long feng')",4
"('kuei', 'sokka')",13
"('katara', 'kuei')",7
"('blue dragon', 'zuko')",1
"('blue dragon', 'red dragon')",1
"('general how', 'kuei')",2
"('aang', 'general how')",1
"('general how', 'toph')",1
"('general how', 'sokka')",1
"('general how', 'katara')",2
"('kuei', 'soldier')",1
"('soldier', 'toph')",1
"('sokka', 'soldier')",1
"('azula', 'kuei')",1
"('aang', 'pathik')",12
"('toph', 'yu')",3
"('hakoda', 'warrior')",1
"('bato', 'hakoda')",6
"('sokka', 'warrior')",1
"('bato', 'warrior')",1
"('azula', 'katara')",3
"('azula', 'long feng')",2
"('iroh', 'royal messenger')",1
"('royal messenger', 'zuko')",1
"('captured agent', 'sokka')",1
"('head of the dai li', 'long feng')",1
"('dai li agent', 'sokka')",1
"('dai li agent', 'how')",1
"('how', 'sokka')",1
"('kuei', 'ty lee')",1
"('mai', 'zuko')",19
"('aang', 'hakoda')",7
"('hakoda', 'katara')",20
"('hakoda', 'pipsqueak')",1
"('fire navy officer', 'hakoda')",1
"('bato', 'fire navy officer')",1
"('fire navy officer', 'guard')",1
"('fire nation man', 'sokka')",1
"('aang', 'fire nation man')",1
"('aang', 'male soldier')",1
"('aang', 'kwan')",3
"('hide', 'on ji')",2
"('aang', 'on ji')",2
"('aang', 'hide')",2
"('aang', 'shoji')",4
"('class', 'kwan')",1
"('aang', 'class')",1
"('music teacher', 'shoji')",1
"('aang', 'music teacher')",1
"('aang', 'headmaster')",2
"('headmaster', 'sokka')",1
"('headmaster', 'katara')",1
"('male student #2', 'shoji')",1
"('male student #1', 'shoji')",1
"('male student #1', 'male student #2')",2
"('aang', 'male student #1')",1
"('headmaster', 'hide')",1
"('male soldier #1', 'shoji')",1
"('headmaster', 'male soldier #1')",1
"('aang', 'male soldier #1')",1
"('headmaster', 'shoji')",1
"('female student #1', 'on ji')",1
"('female student #1', 'student')",1
"('on ji', 'student')",1
"('dock', 'katara')",4
"('sokka', 'xu')",3
"('aang', 'xu')",2
"('dock', 'sokka')",3
"('katara', 'little boy')",1
"('katara', 'xu')",1
"('dock/xu', 'sokka')",1
"('dock/xu', 'toph')",1
"('aang', 'dock')",2
"('dock/xu', 'mung')",1
"('little boy', 'mung')",1
"('female fire nation soldier', 'male fire nation soldier')",2
"('little boy', 'villager #2')",1
"('little boy', 'villager #1')",1
"('dock', 'little boy')",2
"('villager #1', 'villager #2')",1
"('dock', 'villager #2')",1
"('dock', 'villager #1')",1
"('little boy', 'villager #3')",1
"('villager #3', 'villager #4')",1
"('dock', 'villager #3')",1
"('little boy', 'villager #4')",1
"('dock', 'villager #4')",1
"('dock', 'toph')",1
"('sokka', 'weapons store shopkeeper')",1
"('aang', 'weapons store shopkeeper')",1
"('toph', 'weapons store shopkeeper')",1
"('katara', 'weapons store shopkeeper')",1
"('fat', 'sokka')",1
"('piandao', 'sokka')",11
"('katara', 'piandao')",2
"('ty lee', 'zuko')",6
"('lo', 'zuko')",2
"('li', 'zuko')",2
"('lo', 'mai')",2
"('li', 'mai')",2
"('lo', 'ty lee')",3
"('li', 'ty lee')",3
"('aang', 'fire nation watchman #2')",1
