character,dialogue_count,scene_count,episode_count,arc_presence,positive_proportion,negative_proportion,neutral_proportion
female guard,68,7,3,Fire,0.07352941176470588,0.9264705882352942,0.0
hama,956,34,1,Fire,0.7269874476987448,0.2730125523012552,0.0
ding,134,2,1,Fire,0.23880597014925373,0.7611940298507462,0.0
male prisoner #1,12,3,1,Fire,0.4166666666666667,0.5833333333333334,0.0
female prisoner,19,1,1,Fire,0.0,1.0,0.0
male prisoner #2,4,1,1,Fire,1.0,0.0,0.0
servant #1,25,3,1,Fire,0.16,0.84,0.0
servant #2,8,2,1,Fire,0.0,1.0,0.0
momo,42,2,1,"Earth, Fire, Water",0.35714285714285715,0.6428571428571429,0.0
appa,33,1,1,"Earth, Fire, Water",0.12121212121212122,0.8787878787878788,0.0
koala sheep,11,2,1,Fire,0.45454545454545453,0.5454545454545454,0.0
big bad hippo,6,1,1,Fire,1.0,0.0,0.0
ming,33,2,1,Fire,0.9696969696969697,0.030303030303030304,0.0
fire nation captain,9,1,1,Fire,0.0,1.0,0.0
sun warrior chief,339,12,1,Fire,0.5811209439528023,0.41887905604719766,0.0
ham ghao,32,3,1,Fire,0.71875,0.28125,0.0
sun warrior,15,1,1,Fire,1.0,0.0,0.0
male guard,118,11,2,Fire,0.559322033898305,0.4406779661016949,0.0
chit sang,245,15,2,Fire,0.4448979591836735,0.5551020408163265,0.0
bully guard,117,9,2,Fire,0.5128205128205128,0.48717948717948717,0.0
male guard #2,34,2,2,Fire,0.3235294117647059,0.6764705882352942,0.0
bodyguard,6,1,1,Fire,1.0,0.0,0.0
bogyguard #2,4,1,1,Fire,1.0,0.0,0.0
bodyguard #2,12,2,1,Fire,1.0,0.0,0.0
door guard,26,1,1,Fire,0.3076923076923077,0.6923076923076923,0.0
tough prisoner,32,2,1,Fire,0.4375,0.5625,0.0
gondola guard,16,1,1,Fire,0.5625,0.4375,0.0
gondola guard #2,11,1,1,Fire,0.0,1.0,0.0
gondola guard #3,4,1,1,Fire,0.0,1.0,0.0
gondola guard #4,7,1,1,Fire,0.0,1.0,0.0
kya,78,3,1,Fire,0.5128205128205128,0.48717948717948717,0.0
yon rha,148,11,1,Fire,0.527027027027027,0.47297297297297297,0.0
