arc,character,dialogue_count,scene_count,episode_count,positive_proportion,negative_proportion,neutral_proportion
Earth,train conductor,6,1,1,0.0,1.0,0.0
Earth,joo dee,471,16,2,0.7112526539278131,0.28874734607218683,0.0
Earth,pao,72,5,2,0.2777777777777778,0.7222222222222222,0.0
Earth,pet store owner,35,1,1,0.0,1.0,0.0
Earth,university student,41,2,1,0.0,1.0,0.0
Earth,pong,57,1,1,0.38596491228070173,0.6140350877192983,0.0
Earth,customer,40,3,1,0.375,0.625,0.0
Earth,long feng,761,27,5,0.3823915900131406,0.6176084099868594,0.0
Earth,older guest,6,1,1,1.0,0.0,0.0
Earth,younger guest,16,1,1,0.0,1.0,0.0
Earth,guest,12,2,1,0.16666666666666666,0.8333333333333334,0.0
Earth,dai li agent,48,9,3,0.7083333333333334,0.2916666666666667,0.0
Earth,joo dee replacement,19,2,1,1.0,0.0,0.0
Earth,girl with umbrella,6,1,1,0.5,0.5,0.0
Earth,star,17,1,1,1.0,0.0,0.0
Earth,third girl,3,1,1,1.0,0.0,0.0
Earth,shop owner,13,1,1,1.0,0.0,0.0
Earth,boy's mother,4,1,1,1.0,0.0,0.0
Earth,huge round angry face,16,2,1,1.0,0.0,0.0
Earth,tycho,49,4,1,0.22448979591836735,0.7755102040816326,0.0
Earth,kenji,94,4,1,0.48936170212765956,0.5106382978723404,0.0
Earth,guard #2,3,1,1,1.0,0.0,0.0
Earth,young guest,9,1,1,0.0,1.0,0.0
Earth,adult guest,7,1,1,0.0,1.0,0.0
Earth,lady on stage,15,1,1,1.0,0.0,0.0
Earth,macmu-ling,50,1,1,0.44,0.56,0.0
Earth,ladies,3,1,1,1.0,0.0,0.0
Earth,jin,200,10,1,0.815,0.185,0.0
Earth,waiter,11,1,1,0.0,1.0,0.0
Earth,sandbender #1,13,1,1,0.0,1.0,0.0
Earth,sandbender #2,14,1,1,0.0,1.0,0.0
Earth,merchant #1,26,3,1,0.23076923076923078,0.7692307692307693,0.0
Earth,merchant #2,32,4,1,0.0,1.0,0.0
Earth,trainer,140,6,1,0.15714285714285714,0.8428571428571429,0.0
Earth,unnamed fire nation boy,15,3,1,0.6,0.4,0.0
Earth,iio,10,1,1,1.0,0.0,0.0
Earth,farmer,6,1,1,0.0,1.0,0.0
Earth,kyoshi warrior #1,23,2,1,0.0,1.0,0.0
Earth,kyoshi warrior #2,1,1,1,0.0,1.0,0.0
Earth,pathik,1022,21,3,0.6741682974559687,0.3258317025440313,0.0
Earth,quon,89,2,1,1.0,0.0,0.0
Earth,old sweepy,78,1,1,0.6666666666666666,0.3333333333333333,0.0
Earth,brainwasher,18,1,1,1.0,0.0,0.0
Earth,joo dees,18,1,1,1.0,0.0,0.0
Earth,longshot,13,1,1,1.0,0.0,0.0
Earth,palace woman,1,1,1,0.0,1.0,0.0
Earth,kuei,527,21,3,0.523719165085389,0.476280834914611,0.0
Earth,blue dragon,37,3,1,0.4594594594594595,0.5405405405405406,0.0
Earth,red dragon,24,1,1,0.0,1.0,0.0
Earth,general how,105,4,2,0.6761904761904762,0.3238095238095238,0.0
Earth,agent,25,1,1,1.0,0.0,0.0
Earth,water tribe warrior,5,1,1,1.0,0.0,0.0
Earth,hakoda,140,4,1,0.2571428571428571,0.7428571428571429,0.0
Earth,bato,11,1,1,0.45454545454545453,0.5454545454545454,0.0
Earth,warrior,9,1,1,1.0,0.0,0.0
Earth,royal messenger,6,1,1,1.0,0.0,0.0
Earth,captured agent,28,1,1,0.4642857142857143,0.5357142857142857,0.0
Earth,head of the dai li,36,1,1,0.5833333333333334,0.4166666666666667,0.0
Earth,how,4,1,1,0.0,1.0,0.0
Earth,momo,0,0,0,0.0,0.0,0.0
Earth,appa,0,0,0,0.0,0.0,0.0
Fire,aang,5410,290,21,0.4210720887245841,0.5789279112754159,0.0
Fire,pipsqueak,19,4,3,0.5263157894736842,0.47368421052631576,0.0
Fire,toph,2789,167,21,0.4467551093581929,0.5532448906418072,0.0
Fire,katara,4504,217,21,0.35879218472468916,0.6412078152753108,0.0
Fire,sokka,6790,296,21,0.3917525773195876,0.6082474226804123,0.0
Fire,mai,587,23,6,0.3424190800681431,0.6575809199318569,0.0
Fire,zuko,5842,220,17,0.43221499486477233,0.5677850051352277,0.0
Fire,hakoda,882,40,6,0.6349206349206349,0.36507936507936506,0.0
Fire,li,208,9,3,0.6778846153846154,0.32211538461538464,0.0
Fire,lo,110,9,3,0.8090909090909091,0.19090909090909092,0.0
Fire,fire navy officer,99,2,1,0.2222222222222222,0.7777777777777778,0.0
Fire,bato,120,8,3,0.375,0.625,0.0
Fire,guard,30,4,3,0.0,1.0,0.0
Fire,azula,1773,58,11,0.3750705019740553,0.6249294980259448,0.0
Fire,ozai,861,25,7,0.6655052264808362,0.3344947735191638,0.0
Fire,roku,699,36,4,0.6208869814020028,0.3791130185979971,0.0
Fire,yue,42,2,2,1.0,0.0,0.0
Fire,fire nation man,5,1,1,1.0,0.0,0.0
Fire,male soldier,28,1,1,0.17857142857142858,0.8214285714285714,0.0
Fire,kwan,125,4,1,0.4,0.6,0.0
Fire,on ji,44,4,1,0.6818181818181818,0.3181818181818182,0.0
Fire,hide,55,3,1,0.6727272727272727,0.32727272727272727,0.0
Fire,shoji,51,4,1,0.2549019607843137,0.7450980392156863,0.0
Fire,class,41,1,1,1.0,0.0,0.0
Fire,music teacher,66,1,1,0.5151515151515151,0.48484848484848486,0.0
Fire,headmaster,150,6,1,0.5,0.5,0.0
Fire,male student #1,28,3,1,0.4642857142857143,0.5357142857142857,0.0
Fire,male student #2,8,2,1,0.25,0.75,0.0
Fire,male soldier #1,1,1,1,1.0,0.0,0.0
Fire,female student #1,7,2,1,0.0,1.0,0.0
Fire,student,2,1,1,1.0,0.0,0.0
Fire,dock,205,7,1,0.6097560975609756,0.3902439024390244,0.0
Fire,xu,184,4,1,0.44021739130434784,0.5597826086956522,0.0
Fire,little boy,28,5,1,0.8214285714285714,0.17857142857142858,0.0
Fire,dock/xu,33,2,1,0.30303030303030304,0.696969696969697,0.0
Fire,mung,90,4,1,0.15555555555555556,0.8444444444444444,0.0
Fire,female fire nation soldier,14,3,2,0.0,1.0,0.0
Fire,male fire nation soldier,17,3,2,0.0,1.0,0.0
Fire,villager #1,2,1,1,1.0,0.0,0.0
Fire,villager #2,5,1,1,1.0,0.0,0.0
Fire,villager #3,3,1,1,1.0,0.0,0.0
Fire,villager #4,8,1,1,0.0,1.0,0.0
Fire,painted lady,2,1,1,1.0,0.0,0.0
Fire,warden poon,118,6,3,0.3305084745762712,0.6694915254237288,0.0
Fire,weapons store shopkeeper,31,1,1,1.0,0.0,0.0
Fire,fat,43,3,1,0.4186046511627907,0.5813953488372093,0.0
Fire,piandao,674,33,2,0.6943620178041543,0.3056379821958457,0.0
Fire,ty lee,422,15,3,0.8009478672985783,0.1990521327014218,0.0
Fire,fire nation watchman #1,29,1,1,0.4482758620689655,0.5517241379310345,0.0
Fire,fire nation watchman #2,8,1,1,1.0,0.0,0.0
Fire,ember island teenager #1,17,4,1,0.35294117647058826,0.6470588235294118,0.0
Fire,ember island teenager #2,21,3,1,0.38095238095238093,0.6190476190476191,0.0
Fire,chan,133,8,1,0.518796992481203,0.48120300751879697,0.0
Fire,ruon-jian,26,4,1,0.8461538461538461,0.15384615384615385,0.0
Fire,ember island teenager #3,22,2,1,1.0,0.0,0.0
Fire,sozin,455,19,1,0.6307692307692307,0.36923076923076925,0.0
Fire,fire sage,46,3,3,1.0,0.0,0.0
Fire,gyatso,3,1,1,1.0,0.0,0.0
Fire,ta min,6,1,1,1.0,0.0,0.0
Fire,iroh,586,13,6,0.7235494880546075,0.2764505119453925,0.0
Fire,dealer,68,3,1,0.8088235294117647,0.19117647058823528,0.0
Fire,town authority,32,2,1,1.0,0.0,0.0
Fire,female guard,68,7,3,0.07352941176470588,0.9264705882352942,0.0
Fire,hama,956,34,1,0.7269874476987448,0.2730125523012552,0.0
Fire,villager,28,2,1,0.21428571428571427,0.7857142857142857,0.0
Fire,shop owner,29,1,1,0.3448275862068966,0.6551724137931034,0.0
Fire,ding,134,2,1,0.23880597014925373,0.7611940298507462,0.0
Fire,male prisoner #1,12,3,1,0.4166666666666667,0.5833333333333334,0.0
Fire,female prisoner,19,1,1,0.0,1.0,0.0
Fire,male prisoner #2,4,1,1,1.0,0.0,0.0
Fire,servant #1,25,3,1,0.16,0.84,0.0
Fire,servant #2,8,2,1,0.0,1.0,0.0
Fire,servant,41,3,1,0.21951219512195122,0.7804878048780488,0.0
Fire,momo,42,2,1,0.35714285714285715,0.6428571428571429,0.0
Fire,appa,33,1,1,0.12121212121212122,0.8787878787878788,0.0
Fire,koala sheep,11,2,1,0.45454545454545453,0.5454545454545454,0.0
Fire,pathik,12,1,1,1.0,0.0,0.0
Fire,due,32,2,1,0.25,0.75,0.0
Fire,tho,28,3,1,0.17857142857142858,0.8214285714285714,0.0
Fire,huu,19,2,1,0.0,1.0,0.0
Fire,haru,61,5,3,0.6557377049180327,0.3442622950819672,0.0
Fire,tyro,54,5,2,0.7407407407407407,0.25925925925925924,0.0
Fire,big bad hippo,6,1,1,1.0,0.0,0.0
